id,code,latitude,longitude,name,country code
1,MNW,,,Macdonald Downs Airport,AU
2,RVI,,,Rostov-on-Don Airport,RU
3,MRG,,,Mareeba Airport,AU
4,IHR,,,Iran Shahr Airport,IR
5,MIA,,,Miami International Airport,US
6,LPA,,,Gran Canaria Airport,ES
7,KDZ,,,Polgolla Reservoir Seaplane Base,LK
8,TCH,,,Tchibanga Airport,GA
9,TZL,,,Tuzla International Airport,BA
10,PRY,,,Wonderboom Airport,ZA
11,DLF,,,DLF Airport,US
12,SGN,,,Tan Son Nhat International Airport,VN
13,AJK,,,Arak Airport,IR
14,KOC,,,Koumac Airport,NC
15,GOH,,,Godthaab / Nuuk Airport,GL
16,NBS,,,Changbaishan Airport,CN
17,MWR,,,Motswari Airport,ZA
18,XTG,,,Thargomindah Airport,AU
19,WAP,,,Alto Palena Airport,CL
20,LUW,,,Syukuran Aminuddin Amir Airport,ID
21,LBG,,,Paris-Le Bourget Airport,FR
22,APA,,,Centennial Airport,US
23,BWU,,,Sydney Bankstown Airport,AU
24,YQR,,,Regina International Airport,CA
25,CTQ,,,Santa Vitória do Palmar Airport,BR
26,WTT,,,Wantoat Airport,PG
27,NTL,,,Newcastle Airport,AU
28,YTH,,,Thompson Airport,CA
29,AHL,,,Aishalton Airport,GY
30,MMX,,,Malmö Sturup Airport,SE
31,ZJI,,,Locarno Airport,CH
32,GRC,,,Grand Cess Airport,LR
33,HVE,,,Hanksville Airport,US
34,OST,,,Ostend-Bruges International Airport,BE
35,POI,,,Capitan Nicolas Rojas Airport,BO
36,KZR,,,Zafer Airport,TR
37,JJD,,,Comandante Ariston Pessoa Airport,BR
38,YRI,,,Rivière-du-Loup Airport,CA
39,RNE,,,Roanne-Renaison Airport,FR
40,KLQ,,,Keluang Airport,ID
41,EDF,,,Elmendorf Air Force Base,US
42,DAY,,,James M Cox Dayton International Airport,US
43,BYU,,,Bayreuth Airport,DE
44,CUQ,,,Coen Airport,AU
45,SLF,,,Sulayel Airport,SA
46,UYL,,,Nyala Airport,SD
47,AWZ,,,Ahwaz Airport,IR
48,GYN,,,Santa Genoveva Airport,BR
49,YBG,,,CFB Bagotville,CA
50,BFO,,,Buffalo Range Airport,ZW
51,DVO,,,Francisco Bangoy International Airport,PH
52,WAC,,,Waca Airport,ET
53,ZAA,,,Alice Arm/Silver City Seaplane Base,CA
54,MBH,,,Maryborough Airport,AU
55,YJS,,,Samjiyŏn Airport,KP
56,ALN,,,St Louis Regional Airport,US
57,HOF,,,Al Ahsa Airport,SA
58,TCS,,,Truth Or Consequences Municipal Airport,US
59,TCB,,,Treasure Cay Airport,BS
60,AKL,,,Auckland International Airport,NZ
61,BST,,,Bost Airport,AF
62,SJQ,,,Sesheke Airport,ZM
63,GPS,,,Seymour Airport,EC
64,PLJ,,,Placencia Airport,BZ
65,UVL,,,El Kharga Airport,EG
66,NGF,,,Kaneohe Bay MCAS (Marion E. Carl Field) Airport,US
67,PIE,,,St Petersburg Clearwater International Airport,US
68,BJO,,,Bermejo Airport,BO
69,BKE,,,Baker City Municipal Airport,US
70,BQW,,,Balgo Hill Airport,AU
71,UND,,,Konduz Airport,AF
72,OSO,,,Osborne Mine Airport,AU
73,BOI,,,Boise Air Terminal/Gowen Field,US
74,MGQ,,,Aden Adde International Airport,SO
75,RYK,,,Shaikh Zaid Airport,PK
76,PNY,,,Pondicherry Airport,IN
77,PKX,,,Beijing Daxing International Airport,CN
78,TBV,,,Tabal Airstrip,MH
79,IUS,,,Inus Airport,PG
80,POC,,,Brackett Field,US
81,BOT,,,Bosset Airport,PG
82,CLY,,,Calvi-Sainte-Catherine Airport,FR
83,BYN,,,Bayankhongor Airport,MN
84,ONS,,,Onslow Airport,AU
85,CVL,,,Cape Vogel Airport,PG
86,ANW,,,Ainsworth Regional Airport,US
87,OTK,,,Tillamook Airport,US
88,LIG,,,Limoges Airport,FR
